ID,Title,Year,Artist Name ID,Release Type ID,Label ID,,,,
1,Box Frenzy,1987,2,1,,,,,
2,This Is The Day… This Is The Hour… This Is This!,1989,2,1,,,,,
3,The Pop Will Eat Itself Cure For Sanity,1990,2,1,,,,,
4,The Looks or the Lifestyle?,1992,2,1,,,,,
5,At Weirds Bar and Grill,1993,2,1,,,,,
6,Dos Dedos Mis Amigos,1994,2,1,,,,,
7,Two Fingers My Friends!,1995,2,1,,,,,
8,New Noise Designed By a Sadist,2011,2,1,,,,,
9,On Patrol in the UK 2012,2012,2,5,,,,,
10,A Lick of the Old Cassette Box,2013,2,1,,,,,
11,The Poppies Say GRRrrr!,1986,2,3,,,,,
12,Poppiecock,1986,2,3,,,,,
13,Love Missile F1-11,1987,2,3,,,,,
14,Beaver Patrol,1987,2,2,,,,,
15,Sweet Sweet Pie,1987,2,2,,,,,
16,Def.Con.One,1988,2,2,,,,,
17,There Is No Love Between Us Anymore,1987,2,2,,,,,
18,Wise Up! Sucker,1989,2,2,,,,,
19,Can U Dig It?,1989,2,2,,,,,
20,Very Metal Noise Pollution,1989,2,3,,,,,
21,Dance of the Mad,1990,2,2,,,,,
22,X Y & Zee,1990,2,2,,,,,
23,Touched By The Hand of Cicciolina,1990,2,2,,,,,
24,Another Man’s Rhubarb / 92°,1990,2,2,,,,,
25,92° F / The Incredible PWEI Vs Dirty Harry,1991,2,2,,,,,
26,Karmadrome / Eat Me Drink Me Love Me Kill Me,1992,2,2,,,,,
27,Get the Girl! Kill the Baddies!,1992,2,2,,,,,
28,Bulletproof!,1992,2,2,,,,,
29,"I’ve Always Been a Coward, Baby",1992,2,2,,,,,
30,R.S.V.P. / Familus Horribilus,1993,2,2,,,,,
31,Amalgamation,1994,2,3,,,,,
32,Ich Bin Ein Auslander,1994,2,2,,,,,
33,Everything’s Cool?,1994,2,2,,,,,
34,Underbelly,1994,2,2,,,,,
35,Axe of Men 2010,2010,2,2,,,,,
36,Chaos and Mayhem,2011,2,2,,,,,
37,Disguise,2012,2,2,,,,,
38,Watch the Bitch Blow,2014,2,3,,,,,
39,Reclaim the Game (Funk FIFA),2014,5,2,,,,,
40,2000 Light Ales From Home,1986,1,3,,,,,
